song_id,title,artist,genre,language,mood
1,Shape of You,Ed Sheeran,Pop,English,Happy
2,Blinding Lights,The Weeknd,Synth-pop,English,Energetic
3,Bohemian Rhapsody,Queen,Rock,English,Intense
4,Someone Like You,Adele,Pop/Soul,English,Sad
5,Rolling in the Deep,Adele,Pop/Soul,English,Intense
6,Uptown Funk,Mark Ronson ft. Bruno Mars,Funk/Pop,English,Party
7,Happy,Pharrell Williams,Pop/Soul,English,Happy
8,Billie Jean,Michael Jackson,Pop,English,Energetic
9,Imagine,John Lennon,Rock,English,Peaceful
10,Hotel California,Eagles,Rock,English,Melancholic
11,Stairway to Heaven,Led Zeppelin,Rock,English,Intense
12,Smells Like Teen Spirit,Nirvana,Grunge,English,Intense
13,Rehab,Amy Winehouse,Soul,English,Sad
14,Bad Guy,Billie Eilish,Pop,English,Confident
15,Levitating,Dua Lipa,Pop,English,Energetic
16,Watermelon Sugar,Harry Styles,Pop,English,Happy
17,Radioactive,Imagine Dragons,Rock,English,Energetic
18,Counting Stars,OneRepublic,Pop Rock,English,Uplifting
19,Thinking Out Loud,Ed Sheeran,Pop,English,Romantic
20,All of Me,John Legend,R&B,English,Romantic
21,Perfect,Ed Sheeran,Pop,English,Romantic
22,Someone You Loved,Lewis Capaldi,Pop,English,Sad
23,Lose Yourself,Eminem,Hip-Hop,English,Intense
24,God's Plan,Drake,Hip-Hop,English,Confident
25,HUMBLE.,Kendrick Lamar,Hip-Hop,English,Intense
26,SICKO MODE,Travis Scott,Hip-Hop,English,Energetic
27,Old Town Road,Lil Nas X,Country Rap,English,Party
28,Take Five,Dave Brubeck,Jazz,English,Chill
29,What a Wonderful World,Louis Armstrong,Jazz,English,Peaceful
30,(I Can't Get No) Satisfaction,The Rolling Stones,Rock,English,Energetic
31,My Heart Will Go On,Celine Dion,Pop,English,Romantic
32,I Will Always Love You,Whitney Houston,Pop/Soul,English,Sad
33,Every Breath You Take,The Police,Rock,English,Melancholic
34,Wonderwall,Oasis,Britpop,English,Nostalgic
